date,nv total gas sold,nv share of usa gas,average state tax excl. nv,nv excise tax
2017-03-01,103360184.0,0.0085221073043163,0.26538125385754574,0.24
2017-04-01,99583024.0,0.008280854500171238,0.26670459347891956,0.24
2017-05-01,104693456.0,0.00833177164791904,0.26549418449256645,0.24
2017-06-01,105606720.0,0.008337755262577507,0.2655832918872713,0.24
2017-07-01,109026336.0,0.00867480614069622,0.2660581006036404,0.24
2017-08-01,111537624.0,0.008709168350223135,0.26744932835417895,0.24
2017-09-01,102752960.0,0.00842025528947576,0.26520423175290947,0.24
2017-10-01,103718608.0,0.008454115673938674,0.2670891112491811,0.24
2017-11-01,96600712.0,0.008160418482692748,0.265987435996772,0.24
2017-12-01,103649528.0,0.00859668076405981,0.2664602653271432,0.24
2018-01-01,96294592.0,0.00832752374496287,0.2837967142041874,0.24
2018-02-01,91283408.0,0.0084700207555714,0.28462676516942653,0.24
2018-03-01,112834944.0,0.00931274279583324,0.28428510034445453,0.24
2018-04-01,103040120.0,0.008608573572141945,0.2841033544966859,0.24
2018-05-01,107269152.0,0.008379996237782392,0.2842968774776345,0.24
2018-06-01,105207584.0,0.00837431352644999,0.2822402817025623,0.24
2018-07-01,109561192.0,0.008666063478931167,0.28457414957266286,0.24
2018-08-01,112769912.0,0.008977078508957199,0.2864754529583483,0.24
2018-09-01,104736024.0,0.008505004147884115,0.2814821705372237,0.24
2018-10-01,105666128.0,0.00844721953012671,0.28500357320869907,0.24
2018-11-01,99497080.0,0.00815717476972474,0.28099742794470606,0.24
2018-12-01,101805216.0,0.008518323225557038,0.2855395221591891,0.24
2019-01-01,99456856.0,0.008532222308092755,0.3093162554183038,0.24
2019-02-01,89122592.0,0.008225011458569593,0.31089013735227705,0.24
2019-03-01,104445600.0,0.008608797080335342,0.3103947541291874,0.24
2019-04-01,103066592.0,0.00833186554427212,0.30815444870283437,0.24
2019-05-01,107506256.0,0.008479858699819777,0.3111437134499539,0.24
2019-06-01,105216312.0,0.008400140867492033,0.30940051932330015,0.24
2019-07-01,110630784.0,0.00850279710851991,0.312275214420689,0.24
2019-08-01,113639768.0,0.008757945757302824,0.31022681070259733,0.24
2019-09-01,105244064.0,0.008633043168237126,0.3116192537348933,0.24
2019-10-01,105740120.0,0.00845715974685483,0.311020159229277,0.24
2019-11-01,100280128.0,0.008405916006257797,0.31102448702027063,0.24
2019-12-01,103208656.0,0.008552566416020322,0.3097532188118489,0.24
2020-01-01,100166687.0,0.008569106202923277,0.3148026598570951,0.23805
2020-02-01,96339446.0,0.008626414191227075,0.3158048295608156,0.23805
2020-03-01,85363368.0,0.008220914911627563,0.3112815085871358,0.23805
2020-04-01,58560295.0,0.007436364101764366,0.3089011861770541,0.23805
2020-05-01,79405417.0,0.008673083011057457,0.3117055142532716,0.23805
2020-06-01,92578281.0,0.008451122855032694,0.31183260381404915,0.23805
2020-07-01,99179750.0,0.00885834491550411,0.3148571132073728,0.23805
2020-08-01,100503737.0,0.008583653042165148,0.3126339148146829,0.23805
2020-09-01,96550301.0,0.008688062283828395,0.3097884793375167,0.23805
2020-10-01,99291070.0,0.008840747252824093,0.314387599393975,0.23805
2020-11-01,89113004.0,0.008314483437281072,0.3113546011324585,0.23805
2020-12-01,89495788.0,0.008432817783020746,0.3122056984584804,0.23805
2021-01-01,88447670.0,0.00861708038816536,0.31474063461748636,0.23805
2021-02-01,82194460.0,0.008743969196580603,0.3163886135034087,0.23805
2021-03-01,100141568.0,0.008785708826190754,0.3147402178639166,0.23805
2021-04-01,103511870.0,0.008654946857570412,0.31318536042857026,0.23805
2021-05-01,107469506.0,0.009074147915816358,0.31675823475024645,0.23805
2021-06-01,107854849.0,0.008751568722614051,0.3147669826505426,0.23805
2021-07-01,113165261.0,0.008994539510516665,0.3146290370033801,0.23805
2021-08-01,109801521.0,0.00885294878585551,0.31600714444829825,0.23805
2021-09-01,102399536.0,0.00845120968539904,0.31484787527761443,0.23805
2021-10-01,105393513.0,0.008652026108863876,0.31396512407174476,0.23805
2021-11-01,99243324.0,0.008465211663606252,0.31517818320924507,0.23805
2021-12-01,100873325.0,0.008529738469273426,0.3145686109389787,0.23805
2022-01-01,94121895.0,0.008663817611529427,0.32313744349886553,0.23805
