national retail excl. ca (nominal) (severin),ca total fees and taxes (severin),cax cost (severin),lcfs cost (severin),unexplained differential (nominal) (severin),explained differential (nominal) (severin),quantity gas sold (severin),annual average daily usage (severin),extra payment (severin),unexplained differential (real) (severin),california gas (retail) (nominal) (severin),average state tax excl. ca (severin),ust fee (severin),ca state gas tax (severin),ca state.local tax cost (severin),date
1.933333333,0.544905312,0.0,0.0,-0.018339235,0.275005902,1279318383.0,40.5748629,-23461720.86,-0.02652662,2.19,0.18589941,0.014,0.18,0.360905312,2009-03-01
2.017666667,0.55565127,0.0,0.0,0.026387478,0.286945856,1247536585.0,40.5748629,32919343.63,0.038072883,2.331,0.184705414,0.014,0.18,0.37165127,2009-04-01
2.241666667,0.567387991,0.0,0.0,-0.056653323,0.299986656,1291314554.0,40.5748629,-73157260.61,-0.081506175,2.485,0.183401334,0.014,0.18,0.383387991,2009-05-01
2.598555556,0.600769053,0.0,0.0,-0.012632281,0.337076726,1233792786.0,40.5748629,-15585617.47,-0.018019067,2.923,0.179692327,0.014,0.18,0.416769053,2009-06-01
2.488555556,0.59695843,0.0,0.0,0.051601745,0.3328427,1284485838.0,40.5748629,66281710.58,0.07372318,2.873,0.18011573,0.014,0.18,0.41295843,2009-07-01
2.572222222,0.607399538,0.0,0.0,0.093333847,0.344443931,1267878839.0,40.5748629,118336009.0,0.13304724,3.01,0.178955607,0.014,0.18,0.423399538,2009-08-01
2.490777778,0.616011547,0.0,0.0,0.278209392,0.35401283,1219279786.0,40.5748629,339215087.7,0.396339113,3.123,0.177998717,0.014,0.18,0.432011547,2009-09-01
2.499555556,0.607704388,0.0,0.0,0.169661791,0.344782653,1245985450.0,40.5748629,211396123.2,0.241468856,3.014,0.178921735,0.014,0.18,0.423704388,2009-10-01
2.616888889,0.60343649,0.0,0.0,0.001070567,0.340040544,1170268541.0,40.5748629,1252851.002,0.001522593,2.958,0.179395946,0.014,0.18,0.41943649,2009-11-01
2.572777778,0.600159353,0.0,0.0,0.005822941,0.336399281,1237021075.0,40.5748629,7203100.394,0.008296172,2.915,0.179760072,0.014,0.18,0.416159353,2009-12-01
2.681444444,0.613933025,0.0,0.0,-0.013258917,0.348814473,1172751145.0,40.73930128,-15549410.23,-0.018826161,3.017,0.181118553,0.02,0.18,0.429933025,2010-01-01
2.610555556,0.608445727,0.0,0.0,-0.008273031,0.342717475,1130899111.0,40.73930128,-9355962.879,-0.01174384,2.945,0.181728253,0.02,0.18,0.424445727,2010-02-01
2.740333333,0.616981524,0.0,0.0,-0.035535027,0.352201694,1272640468.0,40.73930128,-45223313.32,-0.050236856,3.057,0.180779831,0.02,0.18,0.432981524,2010-03-01
2.821,0.619572748,0.0,0.0,-0.085080831,0.355080831,1254775791.0,40.73930128,-106757367.5,-0.120072586,3.091,0.180491917,0.02,0.18,0.435572748,2010-04-01
2.807777778,0.619496536,0.0,0.0,-0.072773929,0.354996151,1289885802.0,40.73930128,-93870057.34,-0.102624588,3.09,0.180500385,0.02,0.18,0.435496536,2010-05-01
2.692555556,0.619267898,0.0,0.0,0.039702335,0.354742109,1255432005.0,40.73930128,49843582.19,0.056042287,3.087,0.180525789,0.02,0.18,0.435267898,2010-06-01
2.685111111,0.65533414,0.0,0.0,0.044073177,0.394815712,1273677743.0,40.73930128,56135024.98,0.062198873,3.124,0.176518429,0.02,0.353,0.47133414,2010-07-01
2.684444444,0.655837772,0.0,0.0,0.060180253,0.395375303,1291164966.0,40.73930128,77702634.18,0.084813105,3.14,0.17646247,0.02,0.353,0.471837772,2010-08-01
