date,california gas (retail) (nominal),national gas (retail) (nominal)
2010-02-22,2.966,2.709
2010-03-01,3.046,2.756
2010-03-08,3.093,2.804
2010-03-15,3.108,2.841
2010-03-22,3.138,2.87
2010-03-29,3.134,2.851
2010-04-05,3.136,2.877
2010-04-12,3.143,2.909
2010-04-19,3.138,2.911
2010-04-26,3.136,2.901
2010-05-03,3.164,2.95
2010-05-10,3.186,2.958
2010-05-17,3.165,2.918
2010-05-24,3.096,2.842
2010-05-31,3.071,2.784
2010-06-07,3.116,2.78
2010-06-14,3.101,2.756
2010-06-21,3.147,2.795
2010-06-28,3.173,2.809
2010-07-05,3.164,2.779
2010-07-12,3.161,2.771
2010-07-19,3.178,2.775
2010-07-26,3.181,2.801
2010-08-02,3.176,2.788
2010-08-09,3.219,2.835
2010-08-16,3.21,2.798
2010-08-23,3.187,2.759
2010-08-30,3.138,2.736
2010-09-06,3.088,2.735
2010-09-13,3.073,2.772
2010-09-20,3.052,2.775
2010-09-27,3.044,2.747
2010-10-04,3.061,2.784
2010-10-11,3.136,2.871
2010-10-18,3.194,2.887
2010-10-25,3.191,2.87
2010-11-01,3.193,2.861
2010-11-08,3.189,2.917
2010-11-15,3.222,2.944
2010-11-22,3.218,2.931
2010-11-29,3.201,2.912
2010-12-06,3.264,3.013
2010-12-13,3.296,3.035
2010-12-20,3.294,3.037
2010-12-27,3.333,3.106
2011-01-03,3.355,3.124
2011-01-10,3.38,3.142
2011-01-17,3.396,3.158
2011-01-24,3.402,3.163
2011-01-31,3.41,3.155
2011-02-07,3.444,3.185
2011-02-14,3.492,3.193
2011-02-21,3.601,3.243
2011-02-28,3.765,3.435
2011-03-07,3.92,3.572
2011-03-14,4.0,3.621
2011-03-21,4.012,3.617
2011-03-28,4.074,3.65
2011-04-04,4.103,3.737
2011-04-11,4.208,3.843
2011-04-18,4.251,3.896
2011-04-25,4.263,3.932
2011-05-02,4.303,4.014
2011-05-09,4.302,4.018
2011-05-16,4.265,4.014
2011-05-23,4.17,3.904
2011-05-30,4.105,3.848
2011-06-06,4.041,3.833
2011-06-13,3.987,3.767
2011-06-20,3.947,3.708
2011-06-27,3.886,3.631
2011-07-04,3.84,3.634
2011-07-11,3.826,3.695
2011-07-18,3.846,3.736
2011-07-25,3.865,3.754
2011-08-01,3.857,3.766
2011-08-08,3.844,3.73
2011-08-15,3.78,3.662
2011-08-22,3.781,3.638
2011-08-29,3.855,3.682
2011-09-05,3.99,3.727
2011-09-12,3.99,3.715
2011-09-19,3.969,3.657
2011-09-26,3.934,3.568
2011-10-03,3.881,3.492
2011-10-10,3.862,3.476
2011-10-17,3.91,3.533
2011-10-24,3.905,3.52
2011-10-31,3.894,3.511
2011-11-07,3.903,3.482
2011-11-14,3.89,3.495
2011-11-21,3.834,3.427
2011-11-28,3.766,3.368
2011-12-05,3.704,3.35
2011-12-12,3.66,3.346
2011-12-19,3.604,3.29
2011-12-26,3.624,3.317
2012-01-02,3.684,3.358
2012-01-09,3.755,3.441
2012-01-16,3.747,3.451
2012-01-23,3.762,3.45
2012-01-30,3.787,3.5
2012-02-06,3.805,3.542
2012-02-13,3.882,3.584
2012-02-20,4.081,3.652
2012-02-27,4.338,3.78
2012-03-05,4.405,3.849
2012-03-12,4.424,3.884
2012-03-19,4.422,3.923
2012-03-26,4.406,3.973
2012-04-02,4.369,3.996
2012-04-09,4.327,3.997
2012-04-16,4.282,3.98
2012-04-23,4.25,3.929
2012-04-30,4.233,3.889
2012-05-07,4.259,3.849
2012-05-14,4.414,3.814
2012-05-21,4.382,3.773
2012-05-28,4.358,3.728
2012-06-04,4.307,3.671
2012-06-11,4.211,3.629
2012-06-18,4.076,3.589
2012-06-25,3.936,3.494
2012-07-02,3.819,3.415
2012-07-09,3.779,3.469
2012-07-16,3.8,3.485
2012-07-23,3.858,3.554
2012-07-30,3.849,3.568
2012-08-06,3.915,3.702
2012-08-13,4.142,3.779
2012-08-20,4.175,3.803
2012-08-27,4.205,3.837
2012-09-03,4.221,3.903
2012-09-10,4.224,3.907
2012-09-17,4.201,3.939
2012-09-24,4.197,3.889
2012-10-01,4.221,3.866
2012-10-08,4.707,3.914
2012-10-15,4.669,3.886
2012-10-22,4.479,3.756
2012-10-29,4.216,3.638
2012-11-05,4.043,3.563
2012-11-12,3.904,3.518
2012-11-19,3.831,3.497
2012-11-26,3.794,3.505
2012-12-03,3.743,3.463
2012-12-10,3.667,3.419
2012-12-17,3.573,3.324
2012-12-24,3.554,3.328
2012-12-31,3.601,3.369
2013-01-07,3.652,3.373
2013-01-14,3.661,3.377
2013-01-21,3.677,3.386
2013-01-28,3.723,3.427
2013-02-04,3.952,3.604
2013-02-11,4.092,3.677
2013-02-18,4.203,3.812
2013-02-25,4.26,3.851
2013-03-04,4.26,3.826
2013-03-11,4.221,3.779
2013-03-18,4.169,3.764
2013-03-25,4.117,3.746
2013-04-01,4.1,3.714
2013-04-08,4.081,3.676
2013-04-15,4.039,3.611
2013-04-22,3.981,3.603
2013-04-29,3.952,3.587
2013-05-06,3.956,3.602
2013-05-13,4.087,3.665
2013-05-20,4.094,3.729
2013-05-27,4.068,3.704
2013-06-03,4.024,3.705
2013-06-10,4.016,3.715
2013-06-17,4.036,3.689
2013-06-24,4.122,3.645
2013-07-01,4.051,3.567
2013-07-08,4.033,3.563
2013-07-15,4.064,3.706
2013-07-22,4.083,3.751
2013-07-29,4.05,3.716
2013-08-05,3.999,3.701
2013-08-12,3.949,3.633
2013-08-19,3.878,3.622
2013-08-26,3.85,3.623
2013-09-02,3.87,3.678
2013-09-09,3.947,3.658
2013-09-16,4.096,3.619
2013-09-23,4.052,3.567
2013-09-30,3.98,3.499
2013-10-07,3.898,3.441
2013-10-14,3.84,3.43
2013-10-21,3.812,3.435
2013-10-28,3.765,3.372
2013-11-04,3.711,3.343
2013-11-11,3.65,3.274
2013-11-18,3.608,3.298
2013-11-25,3.595,3.372
2013-12-02,3.624,3.353
2013-12-09,3.629,3.35
2013-12-16,3.621,3.321
2013-12-23,3.642,3.351
2013-12-30,3.695,3.409
2014-01-06,3.714,3.411
2014-01-13,3.683,3.406
2014-01-20,3.638,3.376
2014-01-27,3.63,3.375
2014-02-03,3.639,3.372
2014-02-10,3.675,3.388
2014-02-17,3.747,3.457
2014-02-24,3.844,3.52
2014-03-03,3.904,3.553
2014-03-10,3.946,3.584
2014-03-17,4.007,3.619
2014-03-24,4.019,3.622
2014-03-31,4.045,3.651
2014-04-07,4.077,3.67
2014-04-14,4.206,3.725
2014-04-21,4.254,3.758
2014-04-28,4.302,3.788
2014-05-05,4.271,3.761
2014-05-12,4.218,3.746
2014-05-19,4.208,3.743
2014-05-26,4.184,3.75
2014-06-02,4.176,3.765
2014-06-09,4.155,3.749
2014-06-16,4.151,3.76
2014-06-23,4.151,3.778
2014-06-30,4.18,3.778
2014-07-07,4.177,3.753
2014-07-14,4.138,3.712
2014-07-21,4.083,3.671
2014-07-28,4.041,3.617
2014-08-04,4.0,3.595
2014-08-11,3.974,3.582
2014-08-18,3.946,3.549
2014-08-25,3.925,3.532
2014-09-01,3.891,3.536
2014-09-08,3.863,3.534
2014-09-15,3.833,3.485
2014-09-22,3.775,3.432
2014-09-29,3.741,3.434
2014-10-06,3.714,3.382
2014-10-13,3.647,3.292
2014-10-20,3.538,3.205
2014-10-27,3.44,3.139
2014-11-03,3.348,3.077
2014-11-10,3.266,3.025
2014-11-17,3.2,2.978
2014-11-24,3.122,2.907
2014-12-01,3.097,2.864
2014-12-08,3.028,2.767
2014-12-15,2.928,2.643
2014-12-22,2.8,2.496
2014-12-29,2.728,2.392
2015-01-05,2.721,2.308
2015-01-12,2.643,2.232
2015-01-19,2.532,2.157
2015-01-26,2.489,2.133
2015-02-02,2.491,2.154
2015-02-09,2.676,2.276
2015-02-16,2.847,2.358
2015-02-23,3.009,2.415
2015-03-02,3.468,2.556
2015-03-09,3.489,2.57
2015-03-16,3.41,2.537
2015-03-23,3.316,2.538
2015-03-30,3.258,2.531
2015-04-06,3.2,2.499
2015-04-13,3.153,2.494
2015-04-20,3.207,2.57
2015-04-27,3.483,2.656
2015-05-04,3.764,2.749
2015-05-11,3.781,2.776
2015-05-18,3.859,2.827
2015-05-25,3.811,2.857
2015-06-01,3.743,2.863
2015-06-08,3.643,2.863
2015-06-15,3.562,2.918
2015-06-22,3.531,2.895
2015-06-29,3.502,2.885
2015-07-06,3.484,2.877
2015-07-13,3.939,2.92
2015-07-20,3.954,2.888
2015-07-27,3.869,2.833
2015-08-03,3.781,2.779
2015-08-10,3.619,2.72
2015-08-17,3.638,2.803
2015-08-24,3.537,2.726
2015-08-31,3.397,2.602
2015-09-07,3.32,2.532
2015-09-14,3.208,2.471
2015-09-21,3.124,2.425
2015-09-28,3.047,2.418
2015-10-05,3.001,2.415
2015-10-12,2.966,2.432
2015-10-19,2.912,2.374
2015-10-26,2.899,2.326
2015-11-02,2.873,2.322
2015-11-09,2.877,2.335
2015-11-16,2.833,2.281
2015-11-23,2.767,2.198
2015-11-30,2.743,2.165
2015-12-07,2.729,2.159
2015-12-14,2.706,2.144
2015-12-21,2.789,2.133
2015-12-28,2.879,2.141
2016-01-04,2.93,2.135
2016-01-11,2.897,2.104
2016-01-18,2.767,2.022
2016-01-25,2.697,1.965
2016-02-01,2.605,1.932
2016-02-08,2.539,1.87
2016-02-15,2.431,1.834
2016-02-22,2.347,1.837
2016-02-29,2.461,1.887
2016-03-07,2.495,1.943
2016-03-14,2.651,2.062
2016-03-21,2.734,2.109
2016-03-28,2.835,2.169
2016-04-04,2.829,2.185
2016-04-11,2.803,2.173
2016-04-18,2.825,2.24
2016-04-25,2.83,2.265
2016-05-02,2.864,2.342
2016-05-09,2.842,2.325
2016-05-16,2.844,2.345
2016-05-23,2.86,2.403
2016-05-30,2.866,2.44
2016-06-06,2.894,2.482
2016-06-13,2.919,2.499
2016-06-20,2.921,2.455
2016-06-27,2.984,2.432
2016-07-04,2.966,2.396
2016-07-11,2.921,2.359
2016-07-18,2.912,2.336
2016-07-25,2.846,2.289
2016-08-01,2.778,2.267
2016-08-08,2.733,2.256
2016-08-15,2.695,2.256
2016-08-22,2.755,2.299
2016-08-29,2.763,2.341
2016-09-05,2.762,2.329
2016-09-12,2.811,2.31
2016-09-19,2.82,2.333
2016-09-26,2.82,2.334
2016-10-03,2.862,2.354
2016-10-10,2.855,2.381
2016-10-17,2.86,2.367
2016-10-24,2.853,2.353
2016-10-31,2.88,2.341
2016-11-07,2.866,2.345
2016-11-14,2.812,2.298
2016-11-21,2.746,2.269
2016-11-28,2.728,2.268
2016-12-05,2.738,2.321
2016-12-12,2.723,2.347
2016-12-19,2.728,2.375
2016-12-26,2.764,2.419
2017-01-02,2.838,2.485
2017-01-09,2.863,2.496
2017-01-16,2.849,2.467
2017-01-23,2.84,2.436
2017-01-30,2.849,2.408
2017-02-06,2.881,2.405
2017-02-13,2.932,2.418
2017-02-20,2.955,2.414
2017-02-27,3.014,2.427
2017-03-06,3.059,2.452
2017-03-13,3.063,2.434
2017-03-20,3.058,2.433
2017-03-27,3.055,2.428
2017-04-03,3.049,2.471
2017-04-10,3.066,2.534
2017-04-17,3.076,2.546
2017-04-24,3.075,2.559
2017-05-01,3.062,2.522
2017-05-08,3.046,2.484
2017-05-15,3.063,2.481
2017-05-22,3.151,2.51
2017-05-29,3.183,2.516
2017-06-05,3.161,2.525
2017-06-12,3.094,2.479
2017-06-19,3.054,2.433
2017-06-26,3.01,2.404
2017-07-03,3.002,2.376
2017-07-10,3.003,2.411
2017-07-17,2.988,2.392
2017-07-24,2.995,2.426
2017-07-31,3.036,2.467
2017-08-07,3.047,2.492
2017-08-14,3.071,2.497
2017-08-21,3.084,2.474
2017-08-28,3.091,2.513
2017-09-04,3.221,2.794
2017-09-11,3.242,2.8
2017-09-18,3.219,2.75
2017-09-25,3.199,2.701
2017-10-02,3.166,2.682
2017-10-09,3.139,2.622
