date,ca total gas sold,ca share of usa gas,average state tax excl. ca,ca state gas tax,ca state gas sales tax rate
2019-02-01,1148360064.0,0.10598069998865955,0.29102078081736793,0.417,0.0225
2019-03-01,1292753024.0,0.10655354039429028,0.29032396145560474,0.417,0.0225
2019-04-01,1278776192.0,0.10337579894909407,0.2885153467671304,0.417,0.0225
2019-05-01,1295310592.0,0.1021712707820455,0.2920528211435375,0.417,0.0225
2019-06-01,1282993280.0,0.10243016580970496,0.2900811350371539,0.417,0.0225
2019-07-01,1515841920.0,0.11650370564443678,0.29038539444572486,0.473,0.0225
2019-08-01,1348828800.0,0.10395101709718255,0.2906570311824552,0.473,0.0225
2019-09-01,1273510784.0,0.10446454798141874,0.2921037132110117,0.473,0.0225
2019-10-01,1304576512.0,0.10434083074597113,0.291479534137208,0.473,0.0225
2019-11-01,1229884416.0,0.10309425510806511,0.2917406657214996,0.473,0.0225
2019-12-01,1238702848.0,0.10264728548769714,0.2904147711937761,0.473,0.0225
2020-01-01,1224282334.0,0.10473547300619804,0.29181715171107364,0.473,0.0225
2020-02-01,1197585656.0,0.1072340596408286,0.2923284505813934,0.473,0.0225
2020-03-01,1019045856.0,0.09813916050292995,0.2895338073197927,0.473,0.0225
2020-04-01,714431599.0,0.09072313409571647,0.28875597531027647,0.473,0.0225
2020-05-01,924817479.0,0.1010134959110395,0.28927562009665253,0.473,0.0225
2020-06-01,1029938226.0,0.09401918448907502,0.2910981836286899,0.473,0.0225
2020-07-01,1089575995.0,0.09731663948904472,0.2936044220585072,0.505,0.0225
2020-08-01,1120836492.0,0.09572650581465954,0.2915620424863918,0.505,0.0225
2020-09-01,999449673.0,0.08993530748884897,0.2898122329647293,0.505,0.0225
2020-10-01,1123313104.0,0.10001833234599349,0.2924542461217177,0.505,0.0225
2020-11-01,1039176930.0,0.09695800820371392,0.28988831026214884,0.505,0.0225
2020-12-01,1029256230.0,0.09698255564417055,0.29080741242250396,0.505,0.0225
2021-01-01,995980173.0,0.097034113117506,0.2929184339001969,0.505,0.0225
2021-02-01,975834460.0,0.10381072470336646,0.29308132779169227,0.505,0.0225
2021-03-01,1138915242.0,0.09992032173814752,0.2922043035563784,0.505,0.0225
2021-04-01,1155077720.0,0.09657961239579187,0.29131829384615165,0.505,0.0225
2021-05-01,1209075052.0,0.10208780398759212,0.2938785751214186,0.505,0.0225
2021-06-01,1196780811.0,0.09710930579831675,0.29291777525250284,0.505,0.0225
2021-07-01,1232804307.0,0.09798507907869904,0.2925338176785911,0.511,0.0225
2021-08-01,1235150159.0,0.09958624435146295,0.2936743483965876,0.511,0.0225
2021-09-01,1186156014.0,0.09789549431074687,0.2928421719117966,0.511,0.0225
2021-10-01,1203056833.0,0.09876204742850814,0.29164428489755656,0.511,0.0225
2021-11-01,1143477704.0,0.09753583824917529,0.293290830468348,0.511,0.0225
2021-12-01,1163528519.0,0.0983867040033729,0.2924095314748995,0.511,0.0225
2022-01-01,1071069594.0,0.09859078604049432,0.2987098684611733,0.511,0.0225
2022-02-01,1070605044.0,0.1019376044024772,0.2999793768824928,0.511,0.0225
2022-03-01,1180635843.0,0.10251957467183762,0.2981862835650973,0.511,0.0225
2022-04-01,1129924513.0,0.09485205322219185,0.2997282722916326,0.511,0.0225
2022-05-01,1187045728.0,0.09906917705567059,0.29830173756103295,0.511,0.0225
2022-06-01,1130842750.0,0.09512226479036963,0.2995085608765777,0.511,0.0225
2022-07-01,1139954424.0,0.0951821745563283,0.2986281615379236,0.539,0.0225
2022-08-01,1196484785.0,0.09748720862584126,0.2997914461139545,0.539,0.0225
2022-09-01,1143001368.0,0.09574797856213267,0.2989046761800047,0.539,0.0225
2022-10-01,1173356975.0,0.09740489896203862,0.2973525802347055,0.539,0.0225
2022-11-01,1103445549.0,0.09421721531998224,0.2993690746235838,0.539,0.0225
2022-12-01,1120416793.0,0.09636489537506492,0.2987268161154721,0.539,0.0225
2023-01-01,1084683004.0,0.1,0.30356991875173306,0.539,0.0225
2023-02-01,1035973616.0,0.1,0.30671826121644263,0.539,0.0225
2023-03-01,1141589220.0,0.1,0.30478654553240575,0.539,0.0225
2023-04-01,1134186482.0,0.1,0.30553690045514875,0.539,0.0225
2023-05-01,1191773048.0,0.1,0.30571543229735354,0.539,0.0225
2023-06-01,1144027420.0,0.1,0.3044597076114421,0.539,0.0225
2023-07-01,1163401321.0,0.1,0.304815285148818,0.579,0.0225
2023-08-01,1198971799.0,0.1,0.30484149412229944,0.579,0.0225
2023-09-01,1127297534.0,0.1,0.3054430373671195,0.579,0.0225
2023-10-01,1169112984.0,0.1,0.3039326825435829,0.579,0.0225
2023-11-01,1091232826.0,0.1,0.3050305427920753,0.579,0.0225
2023-12-01,1108783979.0,0.1,0.3058317916832065,0.579,0.0225
2024-07-01,,,,0.596,0.0225
