date,wa total gas sold,wa share of usa gas,average state tax excl. wa,wa excise tax
2015-03-01,234584544.0,0.02017047823321884,0.23858209606099468,0.445
2015-04-01,231118224.0,0.019826448110191856,0.23816751155870053,0.445
2015-05-01,244138656.0,0.0203994047837027,0.23930864287651227,0.445
2015-06-01,249603984.0,0.02036270095785452,0.2374630128122025,0.445
2015-07-01,248652160.0,0.01996870417188072,0.23853709151445632,0.445
2015-08-01,255757296.0,0.020413344392200262,0.23905682987717858,0.445
2015-09-01,237142160.0,0.020034488379200976,0.23902888981962536,0.445
2015-10-01,241020160.0,0.01972678253753617,0.2393803808393951,0.445
2015-11-01,228323408.0,0.020022927607693287,0.23711459556781955,0.445
2015-12-01,236419104.0,0.019877131560303563,0.23768176336717825,0.445
2016-01-01,223209056.0,0.01960866030387192,0.24751840546191892,0.494
2016-02-01,217735504.0,0.019400211136820035,0.24724645061648065,0.494
2016-03-01,243260144.0,0.02025090717617002,0.24735809129092554,0.494
2016-04-01,249785792.0,0.02106810941153273,0.24852696134374566,0.494
2016-05-01,248190464.0,0.02004835457307142,0.24892206507624182,0.494
2016-06-01,259696304.0,0.02073498736039778,0.2476600686093756,0.494
2016-07-01,166051232.0,0.013504230393040665,0.2482635581039856,0.494
2016-08-01,73501728.0,0.005818484601518808,0.24946486099282358,0.494
2016-09-01,220934816.0,0.018263465599633506,0.2486280670899943,0.494
2016-10-01,369430112.0,0.029787184338732713,0.249209357032207,0.494
2016-11-01,362344416.0,0.03024439133554506,0.2481685915563438,0.494
2016-12-01,236847872.0,0.01955753271958628,0.2490874211259256,0.494
2017-01-01,186691856.0,0.01648793211168325,0.26134599094914174,0.494
2017-02-01,205125232.0,0.018991319594389416,0.26029611971794314,0.494
2017-03-01,234270144.0,0.01931570966790879,0.2606577814142234,0.494
2017-04-01,273863488.0,0.022773195731005235,0.26118143390875515,0.494
2017-05-01,213700032.0,0.017006792361281792,0.2613247122938458,0.494
2017-06-01,247167776.0,0.01951414100431846,0.26081967073904055,0.494
2017-07-01,257291088.0,0.020471662095741815,0.2610634533725219,0.494
2017-08-01,263732336.0,0.020592955374606273,0.2624417999104141,0.494
2017-09-01,250398064.0,0.020519268961891608,0.2601944875239269,0.494
2017-10-01,249115312.0,0.020305417749120994,0.26215233303775115,0.494
2017-11-01,228215632.0,0.019278688767968982,0.2612890045963899,0.494
2017-12-01,238747520.0,0.019801693767973406,0.2616315050189606,0.494
2018-01-01,227466992.0,0.019671268528509676,0.2792067400673536,0.494
2018-02-01,239254080.0,0.022199949233437256,0.27948658872975957,0.494
2018-03-01,251590496.0,0.020764822457164614,0.2794169047990501,0.494
2018-04-01,246727776.0,0.020613079759485505,0.27929801840910756,0.494
2018-05-01,259257920.0,0.020253543108230115,0.2795829650905874,0.494
2018-06-01,252251472.0,0.020078713280180648,0.2775403164159893,0.494
2018-07-01,266068944.0,0.021045502667369497,0.27967733882289386,0.494
2018-08-01,261460448.0,0.020813627740377427,0.2816382202933309,0.494
2018-09-01,239148768.0,0.019419882349184615,0.27691357150167717,0.494
2018-10-01,242851488.0,0.01941416678345527,0.280478067906288,0.494
2018-11-01,205412704.0,0.016840567848320134,0.27700874895390837,0.494
2018-12-01,262863472.0,0.021994511741796823,0.28045477899656784,0.494
2019-01-01,196799440.0,0.016883065076862692,0.305543103523152,0.494
2019-02-01,217177904.0,0.02004307447597717,0.3065499908162684,0.494
2019-03-01,237779104.0,0.019598643277265425,0.3061062779715741,0.494
2019-04-01,249145360.0,0.02014081964114301,0.30375490285307366,0.494
2019-05-01,271643232.0,0.021426624922389278,0.3065234346535845,0.494
2019-06-01,280076224.0,0.022360408671568466,0.30458208303194617,0.494
2019-07-01,250040832.0,0.019217494321847276,0.3080879083246624,0.494
2019-08-01,263695600.0,0.02032239067259819,0.3057868264956033,0.494
2019-09-01,235541648.0,0.01932119625389717,0.3073955403286415,0.494
2019-10-01,333825952.0,0.02669960468845593,0.30538354561174463,0.494
