date,or total gas sold,or share of usa gas,average state tax excl. or,or excise tax
2014-10-01,123471472.0,0.010489739014938474,0.23629613173805006,0.3
2014-11-01,115619760.0,0.010112247898915067,0.23595008028541195,0.3
2014-12-01,131978336.0,0.011204969439671083,0.23664153269711716,0.3
2015-01-01,92822608.0,0.008288874164067756,0.24246538194493464,0.3
2015-02-01,139413152.0,0.013313916097258155,0.24153017346762087,0.3
2015-03-01,125826304.0,0.010819027898097057,0.24211943239507722,0.3
2015-04-01,121712640.0,0.010441103689488638,0.24165912203536677,0.3
2015-05-01,140773472.0,0.01176255774151242,0.24283218439842497,0.3
2015-06-01,130121104.0,0.010615283805157081,0.24106339758602321,0.3
2015-07-01,144382560.0,0.011595043566960441,0.2419872276003617,0.3
2015-08-01,151987600.0,0.012130935346391746,0.242564067199947,0.3
2015-09-01,131505872.0,0.011110014618997698,0.24251677611337757,0.3
2015-10-01,123482784.0,0.01010669824091707,0.24285908848843982,0.3
2015-11-01,126599728.0,0.011102222111618362,0.24061779554008197,0.3
2015-12-01,127719320.0,0.010738107384217606,0.241170942386242,0.3
2016-01-01,117505080.0,0.010322686897162875,0.25185458948051115,0.3
2016-02-01,129058672.0,0.011499114475320498,0.2514755331980333,0.3
2016-03-01,131639776.0,0.010958740879754696,0.2518248748433828,0.3
2016-04-01,133448464.0,0.011255671581004042,0.25317152817326877,0.3
2016-05-01,133686568.0,0.0107989472025848,0.2533315037844807,0.3
2016-06-01,142228944.0,0.011356015895100009,0.25222539470082467,0.3
2016-07-01,148632768.0,0.012087661855031356,0.25098961870171543,0.3
2016-08-01,152370368.0,0.012061820368845672,0.2502880685648852,0.3
2016-09-01,138107312.0,0.011416571581773022,0.252567896837964,0.3
2016-10-01,135949600.0,0.01096162891014411,0.2560188760366159,0.3
2016-11-01,127724528.0,0.010660991138275972,0.2551252031350128,0.3
2016-12-01,123761152.0,0.01021948290780375,0.2534010899802093,0.3
2017-01-01,127520184.0,0.011262109562301188,0.2647853835793582,0.3
2017-02-01,115674888.0,0.010709646715003842,0.2643526948808535,0.3
2017-03-01,132560240.0,0.010929668909702423,0.2647800092344223,0.3
2017-04-01,132880016.0,0.011049675278754601,0.26610897177537945,0.3
2017-05-01,144069408.0,0.011465410110321322,0.2648790971898478,0.3
